,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
0,2,3,af007a2f-adad-45fe-9db8-851d46617091,2-3,PO 2,A 120,Albania,Vlorë,PO 2 (Project 501),Coastal Patrol Craft,"Patrol, Utility",56.0,21.5,3.5,1.0,Monohull,Sleek,Raked,12.0,6.0,Single continuous,1,Twin side-by-side,2.0,Tall/stack,Close,2.0,4 x Diesels,37 mm/63 (twin),1.46,2.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Pot Head; I-band,,Hull-mounted,Forward,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,China,,1974.0,,
0,2,3,af007a2f-adad-45fe-9db8-851d46617091,2-3,PO 2,A 120,Albania,Vlorë,PO 2 (Project 501),Coastal Patrol Craft,"Patrol, Utility",56.0,21.5,3.5,1.0,Monohull,Sleek,Raked,12.0,6.0,Single continuous,1,Twin side-by-side,2.0,Tall/stack,Close,2.0,4 x Diesels,37 mm/63 (twin),1.46,2.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Pot Head; I-band,,Hull-mounted,Aft,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,China,,1974.0,,
0,2,3,af007a2f-adad-45fe-9db8-851d46617091,2-3,PO 2, A 212,Albania,Vlorë,PO 2 (Project 501),Coastal Patrol Craft,"Patrol, Utility",56.0,21.5,3.5,1.0,Monohull,Sleek,Raked,12.0,6.0,Single continuous,1,Twin side-by-side,2.0,Tall/stack,Close,2.0,4 x Diesels,37 mm/63 (twin),1.46,2.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Pot Head; I-band,,Hull-mounted,Forward,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,China,,1974.0,,
0,2,3,af007a2f-adad-45fe-9db8-851d46617091,2-3,PO 2, A 212,Albania,Vlorë,PO 2 (Project 501),Coastal Patrol Craft,"Patrol, Utility",56.0,21.5,3.5,1.0,Monohull,Sleek,Raked,12.0,6.0,Single continuous,1,Twin side-by-side,2.0,Tall/stack,Close,2.0,4 x Diesels,37 mm/63 (twin),1.46,2.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Pot Head; I-band,,Hull-mounted,Aft,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,China,,1974.0,,
1,2,3,f8baf764-5f70-465b-b288-c896cb89ca9a,2-3,T 43,M 111,Albania,,T 43 (Project 254),Minesweeper - Ocean,Mine Warfare,580.0,58.0,8.4,2.1,Monohull,Bulky,Bluff,15.0,65.0,Minimal,1,,0.0,,,0.0,1 x Diesel,12.7 mm / 25 mm,0.5,,0.0,Long and narrow,Very Small (<500 tons),Pole,Very Low,Simple arrays (1-2 basic radars),,I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,USSR,,1957.0,,
2,2,3,967db73f-0d63-4ce2-a934-c5636d745708,2-3,LCT 3,A 223,Albania,,LCT 3,Repair Ship,"Auxiliary, Repair",640.0,58.5,8.5,2.1,Monohull,Flat-decked,Bluff,9.0,24.0,Cluttered/asymmetric,Multiple,Single compact,1.0,Squat/boxy,,1.0,2 x Diesels,37 mm/63 (twin),1.46,2.0,0.0,Balanced,Very Small (<500 tons),Lattice,Medium,Simple arrays (1-2 basic radars),Ball End; E/F-band,,,Hull-mounted,Forward,1.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,USSR,,1960.0,,
3,2,3,6c49af42-e599-4dd5-8d1d-5d96735ae05e,2-3,Damen Stan Patrol 4207,P 131,Albania,,Damen Stan Patrol 4207,Offshore Patrol Vessel,Patrol,205.0,42.8,7.1,2.5,Monohull,Sleek,Axe bow,26.0,10.0,Single continuous,1,Single compact,1.0,Squat/boxy,,1.0,2 x Diesels,,,,0.0,Short and wide,Very Small (<500 tons),Pole,Low,None/Minimal,,,,,,0.0,,,,,n,n,0.0,n,0.0,,1943.0,,,
4,2,3,4c2dc2f1-1a95-4389-95c2-59ba7b727f3c,2-3,V 4000,,Albania,,V 4000,Fast Patrol Craft,Patrol,27.0,16.5,4.5,0.8,Monohull,Sleek,Raked,46.0,5.0,Stealthy/angular,1,Integrated,0.0,,,0.0,2 x Diesels,,,,0.0,Long and narrow,Very Small (<500 tons),Enclosed,Medium,Simple arrays (1-2 basic radars),,,,,Forward,1.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,Damen Shipyards,,2009.0,,
5,2,3,aeef1afd-058c-411e-9dff-3225b08ee494,2-3,Sea Spectre Mk III,R 118,Albania,,Sea Spectre Mk III,Patrol Boat,Patrol,41.0,19.6,5.8,1.8,Monohull,Sleek,Raked,28.0,9.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 x Diesels,,,,0.0,Long and narrow,Very Small (<500 tons),Pole,Very Low,Simple arrays (1-2 basic radars),,GEM DX 132; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,Italy,,2006.0,,
5,2,3,aeef1afd-058c-411e-9dff-3225b08ee494,2-3,Sea Spectre Mk III, R 215,Albania,,Sea Spectre Mk III,Patrol Boat,Patrol,41.0,19.6,5.8,1.8,Monohull,Sleek,Raked,28.0,9.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 x Diesels,,,,0.0,Long and narrow,Very Small (<500 tons),Pole,Very Low,Simple arrays (1-2 basic radars),,GEM DX 132; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,Italy,,2006.0,,
